ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000097	sulfur amino acid biosynthetic process	3/204	17/18986	0.176470588235294	16.4238754325259	6.63048379326684	0.000743763104840967	0.0638832201941782	0.0559673801509064	BHMT/MTR/MTHFD2L	3
BP	GO:0003007	heart morphogenesis	10/204	274/18986	0.0364963503649635	3.39666523543724	4.16458777247338	0.000788037804326026	0.0649950544393756	0.0569414457925038	FZD2/PPP1R13L/ALDH1A2/SIX1/NRP2/SLIT3/BMP2/ROBO1/CPE/ISL1	10
BP	GO:1990868	response to chemokine	6/204	102/18986	0.0588235294117647	5.47462514417532	4.72236134254907	0.000818062359211775	0.0649950544393756	0.0569414457925038	CXCL11/CX3CL1/CCL5/CCL21/SLIT3/ROBO1	6
BP	GO:1990869	cellular response to chemokine	6/204	102/18986	0.0588235294117647	5.47462514417532	4.72236134254907	0.000818062359211775	0.0649950544393756	0.0569414457925038	CXCL11/CX3CL1/CCL5/CCL21/SLIT3/ROBO1	6
BP	GO:0003128	heart field specification	3/204	18/18986	0.166666666666667	15.5114379084967	6.41926635592787	0.000885477440819731	0.068635300168905	0.0601306246718405	BMP2/ROBO1/ISL1	3
BP	GO:1901019	regulation of calcium ion transmembrane transporter activity	5/204	70/18986	0.0714285714285714	6.64775910364146	4.93355527060745	0.000936858131917871	0.0708889319817855	0.0621050064892924	DRD2/HPCA/CACNB3/STAC/CASQ2	5
BP	GO:0045785	positive regulation of cell adhesion	14/204	499/18986	0.0280561122244489	2.61114385634013	3.80102598096482	0.00103996719360041	0.075348692508839	0.0660121531866712	IL7R/PIK3R2/CYTH3/TNFSF14/CX3CL1/ADAM19/SKAP1/CCL5/PDGFB/CCL21/CARMIL1/YES1/VTCN1/HSD17B12	14
BP	GO:0140131	positive regulation of lymphocyte chemotaxis	3/204	19/18986	0.157894736842105	14.6950464396285	6.22429910143523	0.00104321663637159	0.075348692508839	0.0660121531866712	TNFSF14/CCL5/CCL21	3
BP	GO:0006816	calcium ion transport	13/204	445/18986	0.0292134831460674	2.71885877946684	3.82386975761725	0.00108906796042915	0.0769123995165295	0.0673820995400022	DRD2/CXCL11/PACSIN3/CACNG2/CX3CL1/HPCA/CACNB3/CCL5/PDGFB/STAC/CCL21/CASQ2/SNCA	13
BP	GO:0006790	sulfur compound metabolic process	11/204	338/18986	0.0325443786982249	3.02886065668871	3.92232798630415	0.00111376109222661	0.0769463641542643	0.0674118555821367	ACSF2/BHMT/CHPF/SLC7A11/SNCA/ST3GAL6/ACOT9/HSD17B12/CBR4/MTR/MTHFD2L	11
BP	GO:0060411	cardiac septum morphogenesis	5/204	74/18986	0.0675675675675676	6.28842077371489	4.75031707706218	0.00120455370634696	0.0814483335908646	0.0713559810366788	FZD2/NRP2/SLIT3/ROBO1/ISL1	5
BP	GO:0009067	aspartate family amino acid biosynthetic process	3/204	21/18986	0.142857142857143	13.2955182072829	5.87529296963973	0.00140940054038639	0.093314060778082	0.0817514129237279	BHMT/MTR/MTHFD2L	3
BP	GO:0006631	fatty acid metabolic process	12/204	405/18986	0.0296296296296296	2.75758896151053	3.72614501302455	0.00149466507488958	0.0969297302499605	0.0849190608165167	AVP/ACSF2/FMO4/FMO2/CYP4F2/CYP2A6/SNCA/MAPK14/HSD17B12/CBR4/FABP5/PEX7	12
BP	GO:0032890	regulation of organic acid transport	5/204	78/18986	0.0641025641025641	5.96593765711413	4.5801028858089	0.00152501148914349	0.0969297302499605	0.0849190608165167	AVP/SLC38A3/CYP4F2/SNCA/REPIN1	5
BP	GO:0048839	inner ear development	8/204	202/18986	0.0396039603960396	3.68588623568239	3.99961994003693	0.00156801278925568	0.0970845730394288	0.085054716865718	FZD2/ZIC1/ATP8B1/HPCA/SIX1/DLX6/BMP2/PLS1	8
BP	GO:0001759	organ induction	3/204	22/18986	0.136363636363636	12.6911764705882	5.71813032510643	0.0016190945157614	0.0970845730394288	0.085054716865718	SIX1/BMP2/ROBO1	3
BP	GO:0033630	positive regulation of cell adhesion mediated by integrin	3/204	22/18986	0.136363636363636	12.6911764705882	5.71813032510643	0.0016190945157614	0.0970845730394288	0.085054716865718	SKAP1/CCL5/CCL21	3
BP	GO:0033628	regulation of cell adhesion mediated by integrin	4/204	49/18986	0.0816326530612245	7.59743897559023	4.81911509386304	0.00187889425557458	0.110026289779443	0.0963928112572044	SKAP1/CCL5/CCL21/LPXN	4
BP	GO:0003151	outflow tract morphogenesis	5/204	82/18986	0.0609756097560976	5.67491630798661	4.42133455623965	0.00190416801065744	0.110026289779443	0.0963928112572044	FZD2/SIX1/NRP2/ROBO1/ISL1	5
BP	GO:0071887	leukocyte apoptotic process	6/204	122/18986	0.0491803278688525	4.5771456123433	4.13094209013219	0.00205823214035085	0.110767882268907	0.0970425122060409	IL7R/JAK3/CCL5/CCL21/SLC7A11/CTSL	6
BP	GO:0006925	inflammatory cell apoptotic process	3/204	24/18986	0.125	11.6335784313725	5.43240893407484	0.00209461734106141	0.110767882268907	0.0970425122060409	CCL5/SLC7A11/CTSL	3
BP	GO:0032528	microvillus organization	3/204	24/18986	0.125	11.6335784313725	5.43240893407484	0.00209461734106141	0.110767882268907	0.0970425122060409	ATP8B1/RAP2A/PLS1	3
BP	GO:0050851	antigen receptor-mediated signaling pathway	8/204	212/18986	0.0377358490566038	3.51202367739549	3.83321093709021	0.00212228746713117	0.110767882268907	0.0970425122060409	IGLC1/SKAP1/CACNB3/NFKBIA/CD38/LPXN/VTCN1/EIF2B2	8
BP	GO:0043269	regulation of monoatomic ion transport	13/204	480/18986	0.0270833333333333	2.52060866013072	3.51666715853439	0.0021306503069049	0.110767882268907	0.0970425122060409	DRD2/CXCL11/PACSIN3/ATP8B1/CX3CL1/HPCA/CACNB3/KCNJ9/CCL5/PDGFB/STAC/CASQ2/SNCA	13
BP	GO:0008542	visual learning	4/204	51/18986	0.0784313725490196	7.29950019223376	4.69470159899706	0.00217943629600268	0.110767882268907	0.0970425122060409	DRD2/B4GALT2/SLC7A11/MEIS2	4
BP	GO:0007626	locomotory behavior	8/204	213/18986	0.0375586854460094	3.49553530332321	3.81712292511756	0.00218524113956166	0.110767882268907	0.0970425122060409	DRD2/AVP/B4GALT2/APBA1/ZIC1/GRM5/SNCA/MEIS1	8
BP	GO:0030593	neutrophil chemotaxis	5/204	85/18986	0.0588235294117647	5.47462514417532	4.30896728571022	0.00223069366432034	0.110767882268907	0.0970425122060409	PIP5K1C/CXCL11/S100A9/CX3CL1/CCL21	5
BP	GO:1904427	positive regulation of calcium ion transmembrane transport	5/204	85/18986	0.0588235294117647	5.47462514417532	4.30896728571022	0.00223069366432034	0.110767882268907	0.0970425122060409	CXCL11/CX3CL1/CACNB3/STAC/SNCA	5
BP	GO:0048169	regulation of long-term neuronal synaptic plasticity	3/204	25/18986	0.12	11.1682352941176	5.30193548507977	0.00236154403050826	0.111508881890522	0.0976916937499358	DRD2/GRM5/SNCA	3
BP	GO:0070233	negative regulation of T cell apoptotic process	3/204	25/18986	0.12	11.1682352941176	5.30193548507977	0.00236154403050826	0.111508881890522	0.0976916937499358	IL7R/JAK3/CCL5	3
BP	GO:1901623	regulation of lymphocyte chemotaxis	3/204	25/18986	0.12	11.1682352941176	5.30193548507977	0.00236154403050826	0.111508881890522	0.0976916937499358	TNFSF14/CCL5/CCL21	3
BP	GO:0034762	regulation of transmembrane transport	13/204	487/18986	0.026694045174538	2.48437814550872	3.45847286332535	0.00241534622979391	0.111508881890522	0.0976916937499358	DRD2/CXCL11/CACNG2/CX3CL1/HPCA/CACNB3/KCNJ9/STAC/CASQ2/SNCA/YES1/MAPK14/FABP5	13
BP	GO:0010811	positive regulation of cell-substrate adhesion	6/204	126/18986	0.0476190476190476	4.43183940242764	4.02801288343711	0.00242105501902015	0.111508881890522	0.0976916937499358	CX3CL1/SKAP1/PDGFB/CCL21/CARMIL1/HSD17B12	6
BP	GO:0042692	muscle cell differentiation	12/204	432/18986	0.0277777777777778	2.58523965141612	3.47350149697039	0.0025500647466237	0.11530506980641	0.101017491847887	TNFSF14/RPL3L/SIX1/FOXO4/FBXO40/PDGFB/NFATC4/KCNH1/BMP2/MAPK14/MEIS1/ISL1	12
BP	GO:0003231	cardiac ventricle development	6/204	128/18986	0.046875	4.36259191176471	3.97814674713352	0.00261955243908057	0.11530506980641	0.101017491847887	FZD2/PPP1R13L/SLIT3/ROBO1/CPE/ISL1	6
BP	GO:0003148	outflow tract septum morphogenesis	3/204	26/18986	0.115384615384615	10.7386877828054	5.17866021311192	0.00264860607170168	0.11530506980641	0.101017491847887	NRP2/ROBO1/ISL1	3
BP	GO:0043931	ossification involved in bone maturation	3/204	26/18986	0.115384615384615	10.7386877828054	5.17866021311192	0.00264860607170168	0.11530506980641	0.101017491847887	ADAMTS7/BMP2/SNX10	3
BP	GO:0051209	release of sequestered calcium ion into cytosol	6/204	129/18986	0.0465116279069767	4.32877336981304	3.95359564256802	0.00272326424793874	0.115393783732658	0.101095213134007	DRD2/CXCL11/CX3CL1/CCL21/CASQ2/SNCA	6
BP	GO:0071621	granulocyte chemotaxis	6/204	129/18986	0.0465116279069767	4.32877336981304	3.95359564256802	0.00272326424793874	0.115393783732658	0.101095213134007	PIP5K1C/CXCL11/S100A9/CX3CL1/CCL5/CCL21	6
BP	GO:0051283	negative regulation of sequestering of calcium ion	6/204	130/18986	0.0461538461538462	4.29547511312217	3.92929281422299	0.00283002509175625	0.117722030995427	0.103134964718925	DRD2/CXCL11/CX3CL1/CCL21/CASQ2/SNCA	6
BP	GO:0050727	regulation of inflammatory response	12/204	438/18986	0.0273972602739726	2.5498254096159	3.41995786093564	0.00285229590517555	0.117722030995427	0.103134964718925	TNIP1/PPP1R13L/S100A9/DNASE1L3/CX3CL1/PLA2G2D/CCL5/NFKBIA/SNCA/YES1/MAPK14/ISL1	12
BP	GO:0006898	receptor-mediated endocytosis	9/204	275/18986	0.0327272727272727	3.04588235294118	3.56162318815644	0.00299297183557954	0.121944416582971	0.106834149866503	DRD2/PIP5K1C/CACNG2/NEU3/HPCA/GAK/CCL21/SNCA/CTSL	9
BP	GO:0051282	regulation of sequestering of calcium ion	6/204	132/18986	0.0454545454545455	4.23039215686275	3.88141364023528	0.00305291608596643	0.122812244572168	0.107594444335526	DRD2/CXCL11/CX3CL1/CCL21/CASQ2/SNCA	6
BP	GO:0015718	monocarboxylic acid transport	7/204	179/18986	0.0391061452513966	3.63955526344616	3.69783031638693	0.00327191196077358	0.126322509358492	0.110669748353221	DRD2/ATP8B1/PLA2G2D/CYP4F2/MPC1/REPIN1/FABP5	7
BP	GO:2000107	negative regulation of leukocyte apoptotic process	4/204	57/18986	0.0701754385964912	6.53113175094599	4.35850011725667	0.00327709225983009	0.126322509358492	0.110669748353221	IL7R/JAK3/CCL5/CCL21	4
BP	GO:0003156	regulation of animal organ formation	3/204	28/18986	0.107142857142857	9.97163865546218	4.95112619729769	0.00328507213866718	0.126322509358492	0.110669748353221	SIX1/BMP2/ROBO1	3
BP	GO:2000106	regulation of leukocyte apoptotic process	5/204	93/18986	0.0537634408602151	5.00368964790217	4.03367481427771	0.00329917189325199	0.126322509358492	0.110669748353221	IL7R/JAK3/CCL5/CCL21/SLC7A11	5
BP	GO:0043583	ear development	8/204	229/18986	0.0349344978165939	3.25130576247966	3.57207033183705	0.00340724493802471	0.128907433488601	0.112934371692674	FZD2/ZIC1/ATP8B1/HPCA/SIX1/DLX6/BMP2/PLS1	8
BP	GO:0009100	glycoprotein metabolic process	11/204	392/18986	0.0280612244897959	2.61161964785914	3.36022717650395	0.00353219017710706	0.130731883615633	0.114532752198784	TNIP1/B4GALT2/ADAMTS7/JAK3/CHPF/CCL21/BMP2/ST3GAL6/GALNT12/SOAT1/CTSL	11
BP	GO:0051208	sequestering of calcium ion	6/204	136/18986	0.0441176470588235	4.10596885813149	3.78843936149473	0.00353774134390952	0.130731883615633	0.114532752198784	DRD2/CXCL11/CX3CL1/CCL21/CASQ2/SNCA	6
BP	GO:0050863	regulation of T cell activation	11/204	393/18986	0.0279898218829517	2.60497430524373	3.35072735235997	0.00360053347918454	0.13112981119866	0.114881372137543	IL7R/TNFSF14/JAK3/IRF4/PSG9/PLA2G2D/CCL5/CD2/CCL21/YES1/VTCN1	11
BP	GO:0070977	bone maturation	3/204	29/18986	0.103448275862069	9.62778904665314	4.84577425349609	0.0036353878605905	0.13112981119866	0.114881372137543	ADAMTS7/BMP2/SNX10	3
BP	GO:0007632	visual behavior	4/204	59/18986	0.0677966101694915	6.30973745430376	4.25703899667271	0.00371355664187521	0.13112981119866	0.114881372137543	DRD2/B4GALT2/SLC7A11/MEIS2	4
BP	GO:0019748	secondary metabolic process	4/204	59/18986	0.0677966101694915	6.30973745430376	4.25703899667271	0.00371355664187521	0.13112981119866	0.114881372137543	FMO2/CYP2A6/SLC7A11/CBR4	4
BP	GO:0060485	mesenchyme development	10/204	341/18986	0.0293255131964809	2.72928526249209	3.35824287723156	0.00392042684506202	0.136304500360125	0.119414859876298	S100A4/BNC2/ALDH1A2/SIX1/TSPY1/NRP2/BMP2/MARK1/ROBO1/ISL1	10
BP	GO:0048168	regulation of neuronal synaptic plasticity	4/204	60/18986	0.0666666666666667	6.20457516339869	4.20805065025576	0.00394588232634723	0.136304500360125	0.119414859876298	DRD2/RAB3A/GRM5/SNCA	4
BP	GO:0051235	maintenance of location	10/204	345/18986	0.0289855072463768	2.69764137539074	3.31642638819695	0.00425332804159838	0.141446129730602	0.12391938429911	DRD2/CXCL11/S100A9/CX3CL1/NFKBIA/CCL21/CASQ2/SNCA/CRY1/SOAT1	10
BP	GO:0006637	acyl-CoA metabolic process	5/204	99/18986	0.0505050505050505	4.7004357298475	3.84714397113729	0.00431221473901226	0.141446129730602	0.12391938429911	ACSF2/SNCA/ACOT9/HSD17B12/CBR4	5
BP	GO:0035383	thioester metabolic process	5/204	99/18986	0.0505050505050505	4.7004357298475	3.84714397113729	0.00431221473901226	0.141446129730602	0.12391938429911	ACSF2/SNCA/ACOT9/HSD17B12/CBR4	5
BP	GO:0014047	glutamate secretion	3/204	31/18986	0.0967741935483871	9.00664136622391	4.6496342839658	0.00440230062110166	0.141446129730602	0.12391938429911	AVP/APBA1/SNCA	3
BP	GO:0021602	cranial nerve morphogenesis	3/204	31/18986	0.0967741935483871	9.00664136622391	4.6496342839658	0.00440230062110166	0.141446129730602	0.12391938429911	ATP8B1/SIX1/NRP2	3
BP	GO:0043373	CD4-positive, alpha-beta T cell lineage commitment	3/204	31/18986	0.0967741935483871	9.00664136622391	4.6496342839658	0.00440230062110166	0.141446129730602	0.12391938429911	JAK3/IRF4/CTSL	3
BP	GO:0097553	calcium ion transmembrane import into cytosol	7/204	189/18986	0.037037037037037	3.44698620188816	3.52344598574737	0.00440628283301749	0.141446129730602	0.12391938429911	DRD2/CXCL11/CX3CL1/CACNB3/CCL21/CASQ2/SNCA	7
BP	GO:0030595	leukocyte chemotaxis	8/204	240/18986	0.0333333333333333	3.10228758169935	3.41580370905589	0.00451623784839744	0.142140364394034	0.1245275955822	PIP5K1C/CXCL11/S100A9/TNFSF14/CX3CL1/CCL5/PDGFB/CCL21	8
BP	GO:0070588	calcium ion transmembrane transport	10/204	348/18986	0.028735632183908	2.67438584629254	3.28545088228282	0.00451736211573237	0.142140364394034	0.1245275955822	DRD2/CXCL11/CACNG2/CX3CL1/HPCA/CACNB3/STAC/CCL21/CASQ2/SNCA	10
BP	GO:0042445	hormone metabolic process	8/204	241/18986	0.033195020746888	3.08941501911968	3.40204440115303	0.00462935991075925	0.144236331337185	0.126363848957257	ALDH1A2/CGA/BMP2/ALDH1A1/FDX1/HSD17B12/CTSL/CPE	8
BP	GO:0010959	regulation of metal ion transport	11/204	408/18986	0.0269607843137255	2.50920319108035	3.21164684151792	0.00475907413219812	0.146838229049763	0.128643342663914	DRD2/CXCL11/PACSIN3/CX3CL1/HPCA/CACNB3/CCL5/PDGFB/STAC/CASQ2/SNCA	11
BP	GO:0003266	regulation of secondary heart field cardioblast proliferation	2/204	10/18986	0.2	18.6137254901961	5.80628506464129	0.00488466977042527	0.149264235869342	0.130768740311486	SIX1/ISL1	2
BP	GO:0021545	cranial nerve development	4/204	65/18986	0.0615384615384615	5.72730015082956	3.97875575384883	0.00525578227568914	0.154785232080668	0.135605623812847	ATP8B1/SIX1/NRP2/ISL1	4
BP	GO:0170041	non-proteinogenic amino acid metabolic process	4/204	65/18986	0.0615384615384615	5.72730015082956	3.97875575384883	0.00525578227568914	0.154785232080668	0.135605623812847	BHMT/ALDH1A1/ODC1/MTR	4
BP	GO:0002363	alpha-beta T cell lineage commitment	3/204	33/18986	0.0909090909090909	8.46078431372549	4.47045718634744	0.00526016521860042	0.154785232080668	0.135605623812847	JAK3/IRF4/CTSL	3
BP	GO:0031128	developmental induction	3/204	33/18986	0.0909090909090909	8.46078431372549	4.47045718634744	0.00526016521860042	0.154785232080668	0.135605623812847	SIX1/BMP2/ROBO1	3
BP	GO:0002274	myeloid leukocyte activation	8/204	247/18986	0.0323886639676113	3.01436850043661	3.32096010903887	0.00535451751977844	0.15568387347119	0.136392913560762	DNASE1L3/CX3CL1/IRF4/CCL5/CD2/SPI1/SNCA/IL13RA2	8
BP	GO:0030900	forebrain development	11/204	416/18986	0.0264423076923077	2.46094928355958	3.13996870460594	0.00548814673184443	0.15568387347119	0.136392913560762	DRD2/ZIC1/ALDH1A2/PROP1/NRP2/SLC7A11/BMP2/WDR37/PGAP1/ROBO1/ISL1	11
BP	GO:0022898	regulation of transmembrane transporter activity	7/204	197/18986	0.0355329949238579	3.30700706678611	3.39218610649068	0.00550999116223198	0.15568387347119	0.136392913560762	DRD2/CACNG2/HPCA/CACNB3/STAC/CASQ2/SNCA	7
BP	GO:1990778	protein localization to cell periphery	10/204	362/18986	0.0276243093922652	2.57095655941935	3.14507818382144	0.0059251211238756	0.15568387347119	0.136392913560762	PIK3R2/CACNG2/SKAP1/CACNB3/RAP2A/GAK/STAC/SNCA/EPB41L3/PLS1	10
BP	GO:0002887	negative regulation of myeloid leukocyte mediated immunity	2/204	11/18986	0.181818181818182	16.921568627451	5.50479017598453	0.00592809243565481	0.15568387347119	0.136392913560762	SPI1/IL13RA2	2
BP	GO:0021561	facial nerve development	2/204	11/18986	0.181818181818182	16.921568627451	5.50479017598453	0.00592809243565481	0.15568387347119	0.136392913560762	SIX1/NRP2	2
BP	GO:0021562	vestibulocochlear nerve development	2/204	11/18986	0.181818181818182	16.921568627451	5.50479017598453	0.00592809243565481	0.15568387347119	0.136392913560762	ATP8B1/NRP2	2
